cancer_type	cancer_type_code	drug	gene	proximal_cancer_genes	label	type_alt	genomic_element	samples_mut_treatment	freq_t	samples_mut_control	freq_c	qvalue	log_qvalue	log2(odds_ratio)	significant	annotated	representative_mech	is_treatment_exclusive	is_TED	Literature	comment	is_subtype	found_in_subtype	is_target_treatment
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_AR__GnRH	CDKN1B		CDKN1B - Anti AR  GnRH (BRCA ERpos)	coding mutations		4	0.06349206349206349	0	0.0	0.15987027621381028	0.7962322746920809	10.228818690495881	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	GATA3		GATA3 - Anti AR  GnRH (BRCA)	coding mutations		17	0.21794871794871795	23	0.11442786069651742	0.15987027621381028	0.7962322746920809	1.1095657267963583	False	False	False	False	False			False	True	False
Breast cancer triple negative	BRCA_TNB	Alkylating	CTRL		CTRL - Alkylating (BRCA TNB)	coding mutations		4	0.06349206349206349	0	0.0	0.16352016109098266	0.7864286937023628	9.947636937951827	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	FOXA1		FOXA1 - Pyrimidine antagonist (BRCA)	coding mutations		24	0.08333333333333333	7	0.03482587064676617	0.16384163376551406	0.7855757300657753	1.3391717658822868	False	False	False	True	False			False	True	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	TBX4		TBX4 - Anti AR  GnRH (PRAD)	Amp		15	0.046296296296296294	1	0.006535947712418301	0.165884185425097	0.7801950154825279	2.87969402340648	False	False	False	True	False			False	False	False
Breast cancer triple negative	BRCA_TNB	Taxane	CTRL		CTRL - Taxane (BRCA TNB)	coding mutations		4	0.0625	0	0.0	0.16760495243444065	0.7757131528705822	9.947636937951827	False	False	False	True	False			True	False	False
Kidney renal clear cell carcinoma	KIRC	Multikinase_inhibitor	VHL		VHL - Multikinase inhibitor (KIRC)	coding mutations		11	0.5	81	0.7431192660550459	0.16864436195981086	0.7730281733640307	-1.5283275952410964	False	False	False	False	False			False	False	False
Breast cancer triple negative	BRCA_TNB	Anthracycline	CTRL		CTRL - Anthracycline (BRCA TNB)	coding mutations		4	0.06153846153846154	0	0.0	0.1716724853816428	0.7652993053310186	9.947636937951827	False	False	False	True	False			True	False	False
Cholangiocarcinoma	CHOL	Pyrimidine_antagonist	KRAS		KRAS - Pyrimidine antagonist (CHOL)	coding mutations		6	0.46153846153846156	3	0.11538461538461539	0.17371012619822587	0.7601748642021291	2.65230619798998	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Anti_EGFR	MDFI		MDFI - Anti EGFR (COREAD)	Amp		7	0.1590909090909091	1	0.0196078431372549	0.17390345399682	0.7596917921383879	3.24099170737213	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	CASC8		CASC8 - Anti VEGF (COREAD)	Amp		46	0.2358974358974359	4	0.0784313725490196	0.17390345399682	0.7596917921383879	1.85313393790106	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	ZNF512B		ZNF512B - Anti VEGF (COREAD)	Amp		82	0.4205128205128205	11	0.21568627450980393	0.17390345399682	0.7596917921383879	1.3946745053523002	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	CASC8		CASC8 - Anti VEGF (COREAD)	Amp		46	0.2358974358974359	4	0.0784313725490196	0.17390345399682	0.7596917921383879	1.85313393790106	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	ZNF512B		ZNF512B - Anti VEGF (COREAD)	Amp		82	0.4205128205128205	11	0.21568627450980393	0.17390345399682	0.7596917921383879	1.3946745053523002	False	False	False	False	False			False	False	False
Breast carcinoma	BRCA	Taxane	CDH1		CDH1 - Taxane (BRCA)	coding mutations		44	0.11989100817438691	13	0.06467661691542288	0.1747852123079457	0.7574953136050888	0.9833937572705902	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Platinum	VSTM2B		VSTM2B - Platinum (BRCA)	Amp		6	0.09375	6	0.029850746268656716	0.177653292491182	0.7504267392160181	1.7411275880424397	False	False	False	True	False			False	False	False
Lung adenocarcinoma	LUAD	Taxane	TP53		TP53 - Taxane (LUAD)	coding mutations		9	0.75	13	0.3611111111111111	0.18008477591529345	0.7445230002034822	2.408356525143957	False	False	False	False	False			False	False	False
Prostate carcinoma	PRAD	Immunotherapy	RP5-991G20.1		ZFHX3 - Immunotherapy (PRAD)	Del		2	0.14285714285714285	2	0.013071895424836602	0.18054908566720101	0.7434047065763665	3.60264110824426	False	False	False	True	False			False	False	False
Prostate carcinoma	PRAD	Immunotherapy	MX1		MX1 - Immunotherapy (PRAD)	Del		2	0.14285714285714285	2	0.013071895424836602	0.18054908566720101	0.7434047065763665	3.60264110824426	False	False	False	True	False			False	False	False
Lung squamous cell carcinoma	LUSC	Pyrimidine_antagonist	KDM6A		KDM6A - Pyrimidine antagonist (LUSC)	Del		3	0.1875	1	0.02127659574468085	0.180749392622568	0.7429231534033367	3.33884301296326	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Platinum	STK11		STK11 - Platinum (BRCA)	Del		3	0.046875	1	0.004975124378109453	0.18286981245351003	0.7378579805099396	3.2893402962832496	False	False	False	True	False			False	False	False
Lung adenocarcinoma	LUAD	Immunotherapy	TP53		TP53 - Immunotherapy (LUAD)	coding mutations		8	0.7272727272727273	13	0.3611111111111111	0.18425662337269247	0.7345768918406264	2.2384654934151937	False	False	False	False	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	MLK4		MLK4 - Pyrimidine antagonist (COREAD MSS)	coding mutations		17	0.05573770491803279	6	0.14285714285714285	0.19229259208849134	0.7160374462714532	-1.4934319076005398	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Microtubule_inhibitor	CARD11		CARD11 - Microtubule inhibitor (BRCA-ERpos)	Amp		3	0.2	1	0.0125	0.19300321764480102	0.7144354506101882	4.22474388725978	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Platinum	RP11-145E5.5		CDKN2A - Platinum (BRCA-ERpos)	Del		4	0.14814814814814814	1	0.0125	0.19300321764480102	0.7144354506101882	3.73592247003227	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkylating	VMP1		CLTC - Alkylating (BRCA-ERpos)	Amp		47	0.17803030303030304	5	0.0625	0.19300321764480102	0.7144354506101882	1.6960800178781	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	AC005808.3		AC005808.3 - Pyrimidine antagonist (BRCA-ERpos)	Amp		43	0.2028301886792453	6	0.075	0.19300321764480102	0.7144354506101882	1.6452314990017	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	RNA5SP75		MDM4 - Aromatase inhibitor (BRCA-ERpos)	Amp		80	0.2777777777777778	11	0.1375	0.19300321764480102	0.7144354506101882	1.26756460494807	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	SRGAP2		MDM4 - mTOR inhibitor (BRCA-ERpos)	Amp		18	0.3157894736842105	10	0.125	0.19300321764480102	0.7144354506101882	1.6787252742198	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	RNA5SP75		MDM4 - Aromatase inhibitor (BRCA-ERpos)	Amp		80	0.2777777777777778	11	0.1375	0.19300321764480102	0.7144354506101882	1.26756460494807	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	ZNF808		ZNF808 - mTOR inhibitor (BRCA-ERpos)	Amp		6	0.10526315789473684	1	0.0125	0.193619204958243	0.7130515675145733	3.1951138664	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	ZNF808		ZNF808 - mTOR inhibitor (BRCA-ERpos)	Amp		6	0.10526315789473684	1	0.0125	0.193619204958243	0.7130515675145733	3.1951138664	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkylating	TSHZ2		TSHZ2 - Alkylating (BRCA-ERpos)	Amp		44	0.16666666666666666	5	0.0625	0.193619204958243	0.7130515675145733	1.58132777741124	False	False	False	False	False			True	False	False
Cholangiocarcinoma	CHOL	Platinum	NEUROD2		ERBB2 - Platinum (CHOL)	Amp		3	0.23076923076923078	1	0.038461538461538464	0.198198198198198	0.7029002979644516	2.8227691374848396	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Pyrimidine_antagonist	PGAP3		ERBB2 - Pyrimidine antagonist (BRCA-HER2pos)	Amp		7	0.35	15	0.8333333333333334	0.19923102964646697	0.7006430205571115	-3.1160590073286096	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Pyrimidine_antagonist	PGAP3		ERBB2 - Pyrimidine antagonist (BRCA-HER2pos)	Amp		7	0.35	15	0.8333333333333334	0.19923102964646697	0.7006430205571115	-3.1160590073286096	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Microtubule_inhibitor	GATA3		GATA3 - Microtubule inhibitor (BRCA)	coding mutations		6	0.2727272727272727	23	0.11442786069651742	0.1999394646467053	0.6991014750830726	1.5376309984096672	False	False	False	False	False			False	True	False
Lung adenocarcinoma	LUAD	Folate_antagonist	ACVR2A		ACVR2A - Folate antagonist (LUAD)	coding mutations		7	0.1076923076923077	0	0.0	0.20248577801940296	0.6936054748917824	8.68449817427207	False	False	False	True	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Topoisomerase_inhibitor	PIK3CA		PIK3CA - Topoisomerase inhibitor (COREAD MSS)	coding mutations		23	0.17424242424242425	14	0.3333333333333333	0.2059528848359932	0.6862321203884164	-1.2412078525952683	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	CDK4__6_inhibitor	CCDC94		CCDC94 - CDK4  6 inhibitor (BRCA)	coding mutations		3	0.04411764705882353	1	0.004975124378109453	0.21154798314064155	0.6745911107962437	3.2066071609649858	False	False	False	True	False			False	True	False
Colorectal carcinoma	COREAD	Platinum	TCEA2		TCEA2 - Platinum (COREAD)	Amp		107	0.3905109489051095	12	0.23529411764705882	0.212743549057104	0.6721435999925094	1.0551665512666601	False	False	False	False	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	PIK3CA		PIK3CA - Pyrimidine antagonist (BRCA-ERpos)	Amp		17	0.08018867924528301	1	0.0125	0.21582306358361497	0.6659021469937694	2.77811104835346	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	MYEOV		MYEOV - mTOR inhibitor (BRCA-ERpos)	Amp		21	0.3684210526315789	15	0.1875	0.21582306358361497	0.6659021469937694	1.32761594705659	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	mTOR_inhibitor	MYEOV		MYEOV - mTOR inhibitor (BRCA-ERpos)	Amp		21	0.3684210526315789	15	0.1875	0.21582306358361497	0.6659021469937694	1.32761594705659	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	ENOSF1		ENOSF1 - Pyrimidine antagonist (BRCA-ERpos)	Amp		18	0.08490566037735849	1	0.0125	0.21582306358361497	0.6659021469937694	2.88601380170431	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Microtubule_inhibitor	VMP1		CLTC - Microtubule inhibitor (BRCA-ERpos)	Amp		4	0.26666666666666666	5	0.0625	0.21627389458531	0.6649958990619015	2.4087377518164903	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	CDKN1B		CDKN1B - Anti AR  GnRH (BRCA)	coding mutations		4	0.05128205128205128	2	0.009950248756218905	0.22038749906314412	0.6568130434040457	2.4274394697623976	False	False	False	True	False			False	True	False
Pancreas carcinoma	PAAD	Platinum	HNF1B		HNF1B - Platinum (PAAD)	Amp		2	0.2	7	0.03211009174311927	0.22146369395333998	0.6546974604480966	2.88490735266097	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	HNRNPA2B1		HNRNPA2B1 - Aromatase inhibitor (BRCA)	coding mutations		8	0.022598870056497175	0	0.0	0.22605355603044505	0.6457886567241238	11.294907880953653	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Alkylating	VPS54		VPS54 - Alkylating (BRCA)	coding mutations		8	0.02077922077922078	0	0.0	0.22605355603044505	0.6457886567241238	10.972979786066293	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Anthracycline	VPS54		VPS54 - Anthracycline (BRCA)	coding mutations		8	0.020671834625323	0	0.0	0.22605355603044505	0.6457886567241238	10.972979786066293	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Selective_ER_modulator	GATA3		GATA3 - Selective ER modulator (BRCA)	coding mutations		70	0.17587939698492464	23	0.11442786069651742	0.22605355603044505	0.6457886567241238	0.7291782310411222	False	False	False	False	False			False	True	False
Bladder urothelial carcinoma	BLCA	Platinum	KDM6A		KDM6A - Platinum (BLCA)	coding mutations		16	0.21333333333333335	10	0.43478260869565216	0.22633511984808646	0.6452480524401754	-1.5000449591106841	False	False	False	False	False			False	False	False
Lung adenocarcinoma	LUAD	Platinum	INHBA		INHBA - Platinum (LUAD)	coding mutations		11	0.15492957746478872	1	0.027777777777777776	0.22633511984808646	0.6452480524401754	2.682048858046697	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Folate_antagonist	OR10J1		OR10J1 - Folate antagonist (BRCA ERpos)	coding mutations		2	0.07692307692307693	0	0.0	0.2317449918340457	0.6349896424794309	10.643856189774723	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	TP53		TP53 - Pyrimidine antagonist (BRCA ERpos)	coding mutations		67	0.3160377358490566	16	0.2	0.2317449918340457	0.6349896424794309	0.8869604519747151	False	False	False	False	False			True	False	False
Kidney renal clear cell carcinoma	KIRC	Multikinase_inhibitor	SETD2		SETD2 - Multikinase inhibitor (KIRC)	coding mutations		9	0.4090909090909091	23	0.21100917431192662	0.2343289407685411	0.6301740706011063	1.3727452945035543	False	False	False	False	False			False	False	False
Breast carcinoma	BRCA	mTOR_inhibitor	KRTAP5-7		KRTAP5-7 - mTOR inhibitor (BRCA)	coding mutations		2	0.029850746268656716	0	0.0	0.2364027618810277	0.6263474539215635	11.972979786066293	False	False	False	True	False			False	True	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_VEGF	ATG5		ATG5 - Anti VEGF (BRCA-ERpos)	Amp		3	0.12	1	0.0125	0.240129778801247	0.6195539791886141	3.38726634280431	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_VEGF	ATG5		ATG5 - Anti VEGF (BRCA-ERpos)	Amp		3	0.12	1	0.0125	0.240129778801247	0.6195539791886141	3.38726634280431	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Anti_AR__GnRH	CTD-3096M3.2		CTD-3096M3.2 - Anti AR  GnRH (BRCA)	Del		3	0.038461538461538464	1	0.004975124378109453	0.24092570746643302	0.6181168570579193	2.99465466952707	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anti_VEGF	TP53		TP53 - Anti VEGF (BRCA ERpos)	coding mutations		10	0.4	16	0.2	0.2416588088916733	0.616797369433362	1.4155784085050347	False	False	False	False	False			True	False	False
Prostate carcinoma	PRAD	Taxane	LINC00676		LINC00676 - Taxane (PRAD)	Amp		10	0.043668122270742356	1	0.006535947712418301	0.24304914419168902	0.6143059037952872	2.7992624882071	False	False	False	True	False			False	False	False
Prostate carcinoma	PRAD	Immunotherapy	HTR3B		ZBTB16 - Immunotherapy (PRAD)	Del		2	0.14285714285714285	3	0.0196078431372549	0.24304914419168902	0.6143059037952872	3.0206012584485604	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	TBX3		TBX3 - Aromatase inhibitor (BRCA)	coding mutations		22	0.062146892655367235	5	0.024875621890547265	0.24419644676607566	0.6122606596422141	1.3820795793795415	False	False	False	True	False			False	True	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	CTNNB1		CTNNB1 - Anti AR  GnRH (PRAD)	coding mutations		19	0.05864197530864197	3	0.0196078431372549	0.24419644676607566	0.6122606596422141	1.6395813774706691	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	HOXC13		HOXC13 - Aromatase inhibitor (BRCA)	coding mutations		10	0.02824858757062147	1	0.004975124378109453	0.24589294537643006	0.6092539309117002	2.5439669194747596	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	TP53		TP53 - Pyrimidine antagonist (BRCA)	coding mutations		117	0.40625	99	0.4925373134328358	0.2473363362184375	0.6067120766838411	-0.4939243580182201	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	MAP2K4		MAP2K4 - Pyrimidine antagonist (BRCA)	coding mutations		20	0.06944444444444445	6	0.029850746268656716	0.2473363362184375	0.6067120766838411	1.2841924692798152	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Platinum	ENSG00000184260_H2AC20		H2AC20 [5utr] - Platinum (BRCA)	non-coding mutation	5utr	3	0.046875	0	0.0	0.2585491594270661	0.587456869830725	4.236779598133777	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000140941_MAP1LC3B		MAP1LC3B [5utr] - Selective ER modulator (BRCA)	non-coding mutation	5utr	9	0.022613065326633167	0	0.0	0.2585491594270661	0.587456869830725	3.185938244094956	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Selective ER modulator (BRCA)	non-coding mutation	proximal_promoters	12	0.03015075376884422	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.6386801238145043	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Selective ER modulator (BRCA)	non-coding mutation	proximal_promoters	13	0.032663316582914576	2	0.009950248756218905	0.2585491594270661	0.587456869830725	1.7526373924675929	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000154710_RABGEF1		RABGEF1 [proximal promoters] - Selective ER modulator (BRCA)	non-coding mutation	proximal_promoters	8	0.020100502512562814	0	0.0	0.2585491594270661	0.587456869830725	3.0162113915917383	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000107485_GATA3		GATA3 [splice sites] - Selective ER modulator (BRCA)	non-coding mutation	splice_sites	9	0.022613065326633167	10	0.04975124378109453	0.2585491594270661	0.587456869830725	-1.1459171516285989	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000039068_CDH1		CDH1 [splice sites] - Selective ER modulator (BRCA)	non-coding mutation	splice_sites	10	0.02512562814070352	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.3686675594968785	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000095015_MAP3K1		MAP3K1 [splice sites] - Selective ER modulator (BRCA)	non-coding mutation	splice_sites	10	0.02512562814070352	0	0.0	0.2585491594270661	0.587456869830725	3.3377827987915696	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Folate_antagonist	ENSG00000148735_PLEKHS1		PLEKHS1 [proximal promoters] - Folate antagonist (BRCA)	non-coding mutation	proximal_promoters	5	0.14705882352941177	10	0.04975124378109453	0.2585491594270661	0.587456869830725	1.7238221533889528	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000140941_MAP1LC3B		MAP1LC3B [5utr] - Anthracycline (BRCA)	non-coding mutation	5utr	11	0.028423772609819122	0	0.0	0.2585491594270661	0.587456869830725	3.5155556043493883	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000108239_TBC1D12		TBC1D12 [5utr] - Anthracycline (BRCA)	non-coding mutation	5utr	4	0.0103359173126615	6	0.029850746268656716	0.2585491594270661	0.587456869830725	-1.5169428382049508	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000157538_VPS26C		VPS26C [5utr] - Anthracycline (BRCA)	non-coding mutation	5utr	6	0.015503875968992248	0	0.0	0.2585491594270661	0.587456869830725	2.6421373526337537	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000163029_SMC6		SMC6 [5utr] - Anthracycline (BRCA)	non-coding mutation	5utr	10	0.025839793281653745	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.4100804916518834	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000269556_TMEM185A		TMEM185A [5utr] - Anthracycline (BRCA)	non-coding mutation	5utr	6	0.015503875968992248	0	0.0	0.2585491594270661	0.587456869830725	2.6421373526337537	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Anthracycline (BRCA)	non-coding mutation	proximal_promoters	14	0.03617571059431524	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.9100998884999463	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000106537_TSPAN13		TSPAN13 [proximal promoters] - Anthracycline (BRCA)	non-coding mutation	proximal_promoters	6	0.015503875968992248	0	0.0	0.2585491594270661	0.587456869830725	2.6421373526337537	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000143320_CRABP2		CRABP2 [proximal promoters] - Anthracycline (BRCA)	non-coding mutation	proximal_promoters	7	0.01808785529715762	0	0.0	0.2585491594270661	0.587456869830725	2.8641995842101213	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000107485_GATA3		GATA3 [splice sites] - Anthracycline (BRCA)	non-coding mutation	splice_sites	8	0.020671834625323	10	0.04975124378109453	0.2585491594270661	0.587456869830725	-1.2752057648290935	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000276216_AC245014.3		AC245014.3 [lncrna exons] - Anthracycline (BRCA)	non-coding mutation	lncrna_exons	6	0.015503875968992248	0	0.0	0.2585491594270661	0.587456869830725	2.6421373526337537	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Alkylating (BRCA)	non-coding mutation	proximal_promoters	14	0.03636363636363636	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.9178460408425195	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Alkylating (BRCA)	non-coding mutation	proximal_promoters	13	0.033766233766233764	2	0.009950248756218905	0.2585491594270661	0.587456869830725	1.802048645505732	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ENSG00000106537_TSPAN13		TSPAN13 [proximal promoters] - Alkylating (BRCA)	non-coding mutation	proximal_promoters	6	0.015584415584415584	0	0.0	0.2585491594270661	0.587456869830725	2.649600529664065	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ENSG00000262413_AC145207.2		AC145207.2 [lncrna exons] - Alkylating (BRCA)	non-coding mutation	lncrna_exons	7	0.01818181818181818	0	0.0	0.2585491594270661	0.587456869830725	2.8716644651220298	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Pyrimidine antagonist (BRCA)	non-coding mutation	proximal_promoters	10	0.034722222222222224	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.848847165620036	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	ENSG00000106537_TSPAN13		TSPAN13 [proximal promoters] - Pyrimidine antagonist (BRCA)	non-coding mutation	proximal_promoters	5	0.017361111111111112	0	0.0	0.2585491594270661	0.587456869830725	2.8051204502305063	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Aromatase inhibitor (BRCA)	non-coding mutation	proximal_promoters	9	0.025423728813559324	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.3860911584774644	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Aromatase inhibitor (BRCA)	non-coding mutation	proximal_promoters	13	0.03672316384180791	2	0.009950248756218905	0.2585491594270661	0.587456869830725	1.927234721843692	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000076924_XAB2		XAB2 [proximal promoters] - Aromatase inhibitor (BRCA)	non-coding mutation	proximal_promoters	6	0.01694915254237288	0	0.0	0.2585491594270661	0.587456869830725	2.770524477775007	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000174943_KCTD13		KCTD13 [proximal promoters] - Aromatase inhibitor (BRCA)	non-coding mutation	proximal_promoters	7	0.01977401129943503	0	0.0	0.2585491594270661	0.587456869830725	2.99261482674837	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000188558_OR2G6		OR2G6 [3utr] - Aromatase inhibitor (BRCA)	non-coding mutation	3utr	23	0.06497175141242938	6	0.029850746268656716	0.2585491594270661	0.587456869830725	1.1816166484457409	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000039068_CDH1		CDH1 [splice sites] - Aromatase inhibitor (BRCA)	non-coding mutation	splice_sites	10	0.02824858757062147	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.5419988338396875	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Taxane (BRCA)	non-coding mutation	proximal_promoters	13	0.035422343324250684	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.8786533066071676	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Taxane (BRCA)	non-coding mutation	proximal_promoters	13	0.035422343324250684	2	0.009950248756218905	0.2585491594270661	0.587456869830725	1.8734017067760944	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000106537_TSPAN13		TSPAN13 [proximal promoters] - Taxane (BRCA)	non-coding mutation	proximal_promoters	6	0.01634877384196185	0	0.0	0.2585491594270661	0.587456869830725	2.7185714161669505	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000188558_OR2G6		OR2G6 [3utr] - Taxane (BRCA)	non-coding mutation	3utr	23	0.06267029972752043	6	0.029850746268656716	0.2585491594270661	0.587456869830725	1.126289076286881	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000039068_CDH1		CDH1 [splice sites] - Taxane (BRCA)	non-coding mutation	splice_sites	10	0.027247956403269755	1	0.004975124378109453	0.2585491594270661	0.587456869830725	2.488576935636881	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	ENSG00000107485_GATA3		GATA3 [splice sites] - Taxane (BRCA)	non-coding mutation	splice_sites	8	0.021798365122615803	10	0.04975124378109453	0.2585491594270661	0.587456869830725	-1.1988355782806075	False	False	False	True	False			False	False	False
